Date,Raw,Cap,Order
"Aug. 31, 2014",17.79T,17.79,25
"Sept. 30, 2014",17.52T,17.52,24
"Oct. 31, 2014",17.93T,17.93,23
"Nov. 30, 2014",18.36T,18.36,22
"Dec. 31, 2014",18.25T,18.25,21
"Jan. 31, 2015",17.68T,17.68,20
"Feb. 28, 2015",18.65T,18.65,19
31-Mar-15,18.30T,18.30,18
30-Apr-15,18.46T,18.46,17
31-May-15,18.65T,18.65,16
30-Jun-15,18.22T,18.22,15
31-Jul-15,18.58T,18.58,14
"Aug. 31, 2015",17.42T,17.42,13
"Sept. 30, 2015",16.92T,16.92,12
"Oct. 31, 2015",18.32T,18.32,11
"Nov. 30, 2015",18.33T,18.33,10
"Dec. 31, 2015",17.90T,17.90,9
"Jan. 31, 2016",16.99T,16.99,8
"Feb. 29, 2016",16.92T,16.92,7
31-Mar-16,17.96T,17.96,6
30-Apr-16,18.01T,18.01,5
31-May-16,18.28T,18.28,4
30-Jun-16,18.19T,18.19,3
31-Jul-16,18.84T,18.84,2
"Aug. 31, 2016",18.82T,18.82,1
"Sept. 30, 2016",18.74T,18.74,25
"Oct. 31, 2016",18.38T,18.38,24
"Nov. 30, 2016",19.01T,19.01,23
"Dec. 31, 2016",19.27T,19.27,22
"Jan. 31, 2017",19.61T,19.61,21
"Feb. 28, 2017",20.34T,20.34,20
31-Mar-17,20.28T,20.28,19
30-Apr-17,20.46T,20.46,18
31-May-17,20.70T,20.70,17
30-Jun-17,20.76T,20.76,16
31-Jul-17,21.16T,21.16,15
"Aug. 31, 2017",21.18T,21.18,14
"Sept. 30, 2017",21.58T,21.58,13
"Oct. 31, 2017",22.06T,22.06,12
"Nov. 30, 2017",22.68T,22.68,11
"Dec. 31, 2017",22.82T,22.82,10
"Jan. 31, 2018",24.10T,24.10,9
"Feb. 28, 2018",23.16T,23.16,8
31-Mar-18,22.50T,22.50,7
30-Apr-18,22.56T,22.56,6
31-May-18,23.04T,23.04,5
30-Jun-18,23.04T,23.04,4
31-Jul-18,23.87T,23.87,3
"Aug. 31, 2018",24.59T,24.59,2
"Sept. 30, 2018",24.58T,24.58,1
